,precision,recall,f1-score,support
True_Correct,0.9140419947506562,0.9268130405854956,0.9203832177073009,3006.0
False_Misconception,0.8723731419784726,0.8630831643002028,0.8677032882997706,1972.0
False_Neither,0.82,0.8143621084797555,0.8171713300114987,1309.0
True_Neither,0.7713736791546589,0.7625830959164293,0.766953199617956,1053.0
accuracy,0.8660762942779292,0.8660762942779292,0.8660762942779292,0.8660762942779292
macro avg,0.8444472039709469,0.8417103523204708,0.8430527589091316,7340.0
weighted avg,0.8656085226637434,0.8660762942779292,0.8658122380297077,7340.0
