,precision,recall,f1-score,support
True_Correct,0.8978174603174603,0.9031936127744511,0.900497512437811,3006.0
False_Misconception,0.8399209486166008,0.8620689655172413,0.8508508508508509,1972.0
False_Neither,0.8037156704361874,0.760122230710466,0.7813113466823715,1309.0
True_Neither,0.7191650853889943,0.7198480531813866,0.7195064072140485,1053.0
accuracy,0.8403269754768392,0.8403269754768392,0.8403269754768392,0.8403269754768392
macro avg,0.8151547911898107,0.8113082155458863,0.8130415292962705,7340.0
weighted avg,0.8398512321392101,0.8403269754768392,0.8399387193282772,7340.0
