,precision,recall,f1-score,support
True_Correct,0.9158309455587392,0.8506320691949435,0.8820282856157295,3006.0
False_Misconception,0.8364941055868785,0.8275862068965517,0.8320163140453735,1972.0
False_Neither,0.7714723926380368,0.7685255920550038,0.7699961729812476,1309.0
True_Neither,0.6481051817478731,0.7958214624881291,0.7144075021312873,1053.0
accuracy,0.8219346049046321,0.8219346049046321,0.8219346049046321,0.8219346049046321
macro avg,0.792975656382882,0.8106413326586571,0.7996120686934094,7340.0
weighted avg,0.830363258434686,0.8219346049046321,0.8245652980974194,7340.0
