,precision,recall,f1-score,support
True_Correct,0.8519503546099291,0.9590818363273453,0.9023474178403755,3006.0
False_Misconception,0.8363899613899614,0.8788032454361054,0.8570722057368941,1972.0
False_Neither,0.8155594405594405,0.7127578304048893,0.7607011822258459,1309.0
True_Neither,0.8189189189189189,0.5754985754985755,0.6759620747350809,1053.0
accuracy,0.8385558583106267,0.8385558583106267,0.8385558583106267,0.8385558583106267
macro avg,0.8307046688695624,0.7815353719167288,0.7990207201345492,7340.0
weighted avg,0.8365412396638119,0.8385558583106267,0.8324453187971385,7340.0
