,precision,recall,f1-score,support
True_Correct,0.8961344537815126,0.886892880904857,0.8914897174385554,3006.0
False_Misconception,0.8280612244897959,0.8230223123732252,0.8255340793489319,1972.0
False_Neither,0.7480680061823802,0.7394957983193278,0.7437572032270457,1309.0
True_Neither,0.6786678667866787,0.7160493827160493,0.6968576709796673,1053.0
accuracy,0.8189373297002724,0.8189373297002724,0.8189373297002724,0.8189373297002724
macro avg,0.7877328878100919,0.7913650935783648,0.7894096677485501,7340.0
weighted avg,0.8202418510327266,0.8189373297002724,0.8195014443681449,7340.0
