class,direction,rank,feature,coefficient
False_Neither,positive,3,mpnet_dim_528,0.1467784345149994
False_Neither,positive,4,mpnet_dim_592,0.13495752215385437
False_Neither,positive,5,mpnet_dim_623,0.12466874718666077
False_Neither,positive,6,mpnet_dim_231,0.1147458404302597
False_Neither,positive,7,mpnet_dim_496,0.10423774272203445
False_Neither,positive,8,mpnet_dim_228,0.10116612911224365
False_Neither,positive,9,mpnet_dim_596,0.09931908547878265
False_Neither,positive,10,mpnet_dim_400,0.0963112935423851
False_Neither,positive,11,mpnet_dim_168,0.09601400792598724
False_Neither,positive,12,mpnet_dim_166,0.09375990927219391
False_Neither,positive,13,mpnet_dim_313,0.08474887162446976
False_Neither,positive,14,mpnet_dim_663,0.08268272876739502
False_Neither,positive,15,mpnet_dim_352,0.08241435885429382
False_Neither,positive,16,mpnet_dim_356,0.08184441924095154
False_Neither,positive,17,mpnet_dim_681,0.08103295415639877
False_Neither,positive,18,mpnet_dim_130,0.07974429428577423
False_Neither,positive,19,mpnet_dim_729,0.07744485884904861
False_Neither,positive,20,mpnet_dim_121,0.07671428471803665
False_Neither,positive,21,mpnet_dim_39,0.07634750753641129
False_Neither,positive,22,mpnet_dim_128,0.07633855193853378
False_Neither,positive,23,mpnet_dim_224,0.07629971206188202
False_Neither,positive,24,mpnet_dim_156,0.07621333003044128
False_Neither,positive,25,mpnet_dim_60,0.07567838579416275
False_Neither,negative,1,mpnet_dim_444,-0.129994735121727
False_Neither,negative,2,mpnet_dim_92,-0.12913878262043
False_Neither,negative,3,mpnet_dim_40,-0.12429242581129074
False_Neither,negative,4,mpnet_dim_507,-0.1115722805261612
False_Neither,negative,5,mpnet_dim_267,-0.09903457760810852
False_Neither,negative,6,mpnet_dim_149,-0.09784412384033203
False_Neither,negative,7,mpnet_dim_346,-0.0954006016254425
False_Neither,negative,8,mpnet_dim_415,-0.09426624327898026
False_Neither,negative,9,mpnet_dim_656,-0.09417042136192322
False_Neither,negative,10,mpnet_dim_530,-0.09206711500883102
False_Neither,negative,11,mpnet_dim_761,-0.0886756032705307
False_Neither,negative,12,mpnet_dim_697,-0.08864827454090118
False_Neither,negative,13,mpnet_dim_241,-0.08845293521881104
False_Neither,negative,14,mpnet_dim_270,-0.08753938972949982
False_Neither,negative,15,mpnet_dim_617,-0.08642204105854034
False_Neither,negative,16,mpnet_dim_467,-0.08570042252540588
False_Neither,negative,17,mpnet_dim_421,-0.0840328186750412
False_Neither,negative,18,mpnet_dim_478,-0.08307451754808426
False_Neither,negative,19,mpnet_dim_465,-0.08168778568506241
False_Neither,negative,20,mpnet_dim_249,-0.08138595521450043
False_Neither,negative,21,mpnet_dim_689,-0.07732412219047546
False_Neither,negative,22,mpnet_dim_331,-0.07329924404621124
False_Neither,negative,23,mpnet_dim_470,-0.07300171256065369
False_Neither,negative,24,mpnet_dim_533,-0.07247164845466614
False_Neither,negative,25,mpnet_dim_495,-0.07138527184724808
True_Neither,positive,1,mpnet_dim_640,0.1546703279018402
True_Neither,positive,2,mpnet_dim_72,0.14542940258979797
True_Neither,positive,3,mpnet_dim_247,0.14479665458202362
True_Neither,positive,4,mpnet_dim_193,0.13553911447525024
True_Neither,positive,5,mpnet_dim_662,0.13418416678905487
True_Neither,positive,6,mpnet_dim_477,0.1320877969264984
True_Neither,positive,7,mpnet_dim_314,0.13156232237815857
True_Neither,positive,8,mpnet_dim_530,0.12996149063110352
True_Neither,positive,9,mpnet_dim_308,0.122504323720932
True_Neither,positive,10,mpnet_dim_190,0.12098360061645508
True_Neither,positive,11,mpnet_dim_765,0.11813373863697052
True_Neither,positive,12,mpnet_dim_656,0.11717282235622406
True_Neither,positive,13,mpnet_dim_148,0.11103662848472595
True_Neither,positive,14,mpnet_dim_495,0.10558311641216278
True_Neither,positive,15,mpnet_dim_12,0.1040915921330452
True_Neither,positive,16,mpnet_dim_651,0.10251704603433609
True_Neither,positive,17,mpnet_dim_66,0.09875907003879547
True_Neither,positive,18,mpnet_dim_697,0.09872124344110489
True_Neither,positive,19,mpnet_dim_517,0.09741672873497009
True_Neither,positive,20,mpnet_dim_579,0.0898895114660263
True_Neither,positive,21,mpnet_dim_138,0.08578472584486008
True_Neither,positive,22,mpnet_dim_300,0.08563270419836044
True_Neither,positive,23,mpnet_dim_202,0.08367624878883362
True_Neither,positive,24,mpnet_dim_331,0.08195222914218903
True_Neither,positive,25,mpnet_dim_738,0.08123566210269928
True_Neither,negative,1,mpnet_dim_57,-0.19211694598197937
True_Neither,negative,2,mpnet_dim_709,-0.13128234446048737
True_Neither,negative,3,mpnet_dim_141,-0.12407100945711136
True_Neither,negative,4,mpnet_dim_663,-0.1219598799943924
True_Neither,negative,5,mpnet_dim_90,-0.11291156709194183
True_Neither,negative,6,mpnet_dim_636,-0.10826784372329712
True_Neither,negative,7,mpnet_dim_239,-0.1082477867603302
True_Neither,negative,8,mpnet_dim_97,-0.10723914951086044
True_Neither,negative,9,mpnet_dim_150,-0.10375742614269257
True_Neither,negative,10,mpnet_dim_23,-0.10290519893169403
True_Neither,negative,11,mpnet_dim_264,-0.09957146644592285
True_Neither,negative,12,mpnet_dim_244,-0.09924901276826859
True_Neither,negative,13,mpnet_dim_472,-0.09562419354915619
True_Neither,negative,14,mpnet_dim_178,-0.09448094666004181
True_Neither,negative,15,mpnet_dim_668,-0.09447038173675537
True_Neither,negative,16,mpnet_dim_590,-0.08967818319797516
True_Neither,negative,17,mpnet_dim_434,-0.08706630021333694
True_Neither,negative,18,mpnet_dim_10,-0.08296201378107071
True_Neither,negative,19,mpnet_dim_155,-0.0813024491071701
True_Neither,negative,20,mpnet_dim_476,-0.07814270257949829
True_Neither,negative,21,mpnet_dim_232,-0.07760429382324219
True_Neither,negative,22,mpnet_dim_489,-0.07732021808624268
True_Neither,negative,23,mpnet_dim_113,-0.07666932791471481
True_Neither,negative,24,mpnet_dim_189,-0.07393747568130493
True_Neither,negative,25,mpnet_dim_225,-0.07389646023511887
